mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_booster,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
93.82304724057515,0.4357960280590691,0.4467291831970215,0.015338538684555154,1.0,1,6,0.01,0,1.0,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5316210964492731,0.5216432171109834,0.5350595372343608,0.5294412835982057,0.005689938456755311,4
490.4552879333496,2.7559737013395824,24.342229048411053,1.0364775042383603,0.5,1,6,0.01,2,0.75,dart,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'dart'}",0.5263583531311694,0.5225109010662539,0.5240214718487195,0.5242969086820476,0.0015827446487712584,49
447.39354761441547,2.488630810508618,24.26944327354431,0.8157821927559259,0.75,1,5,0.5,0.5,0.5,dart,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.5, 'gamma': 0.5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5101387050886834,0.5075953260947503,0.5068802837692734,0.5082047716509024,0.001398307378733668,119
82.46421885490417,0.8611541036391321,0.4676969846089681,0.03035210927066048,0.75,5,6,0.5,0,0.75,gbtree,"{'subsample': 0.75, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 0, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5099998312863381,0.5099299698621528,0.5141937240147211,0.5113745083877373,0.0019936905005908685,83
83.96202699343364,0.4574420026429912,0.4602965513865153,0.019332760338701984,0.75,1,6,0.01,2,0.75,gbtree,"{'subsample': 0.75, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5240697974992363,0.5213173203800681,0.5310660865821987,0.5254844014871677,0.0041036925606055905,39
469.9749752680461,0.5421348352338207,25.013218879699707,1.4550548269825878,0.5,10,5,0.01,5,0.75,dart,"{'subsample': 0.5, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 0.75, 'booster': 'dart'}",0.526501835062347,0.5225748191682602,0.5238587299468551,0.5243117947258208,0.0016348933152873866,48
77.42960977554321,0.9845616763744004,0.4223976135253906,0.017268230442471267,1.0,1,5,0.1,5,1.0,gbtree,"{'subsample': 1.0, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5031130614885158,0.5037923873218695,0.5035857191734509,0.503497055994612,0.00028433169178125725,294
484.2598301569621,1.9767744522259543,25.367719252904255,1.559538391841864,0.5,1,6,0.05,0,0.75,dart,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.75, 'booster': 'dart'}",0.5048044022543432,0.5055467971436777,0.5035888972981337,0.5046466988987182,0.0008070504786264604,222
437.34105547269183,1.4672558317743025,25.314956267674763,1.2874072623930803,0.5,5,4,0.1,1.5,0.5,dart,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 1.5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5022271846680035,0.5020837027368259,0.5002887709841162,0.5015332194629819,0.0008819054290028217,399
473.1433780193329,1.1695429539201097,25.77169330914815,1.600044842386554,0.5,10,5,0.001,0.5,0.75,dart,"{'subsample': 0.5, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.75, 'booster': 'dart'}",0.5,0.5,0.5,0.5,0.0,410
65.32898012797038,0.2691317970720514,0.4624366760253906,0.01443522665625543,0.5,10,6,0.01,0,0.5,gbtree,"{'subsample': 0.5, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.5, 'booster': 'gbtree'}",0.5101230593615185,0.510696987086229,0.5171611335515938,0.5126603933331138,0.0031911173742103257,67
458.3322235743205,1.8305090962561101,25.646070162455242,0.5011832142759202,0.75,10,4,0.5,2,0.75,dart,"{'subsample': 0.75, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.5, 'gamma': 2, 'colsample_bytree': 0.75, 'booster': 'dart'}",0.5039557602103399,0.5064724558787755,0.5039797792365005,0.5048026651085387,0.001180761093724616,212
439.852730512619,2.9496620035205123,25.592429955800373,2.1735708388122514,1.0,5,4,0.001,0.5,0.5,dart,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.5, 'booster': 'dart'}",0.5,0.5,0.5,0.5,0.0,410
118.36295461654663,0.4339260006315307,0.48256691296895343,0.01755812309610363,0.5,1,6,0.5,5,1.0,gbtree,"{'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.5, 'gamma': 5, 'colsample_bytree': 1.0, 'booster': 'gbtree'}",0.5121025759344313,0.5100129298754263,0.5144793168741544,0.512198274228004,0.0018246500720496607,71
532.4506363868713,0.9467969926410813,27.44624988238017,2.552529283354183,0.5,5,6,0.05,0.5,1.0,dart,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 1.0, 'booster': 'dart'}",0.5057524990848106,0.5067628159252331,0.5042286592763213,0.5055813247621216,0.0010416214817507475,179
77.01136787732442,0.28231366219788945,0.4340304533640544,0.03801224245792577,0.5,5,5,0.01,5,0.75,gbtree,"{'subsample': 0.5, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 0.75, 'booster': 'gbtree'}",0.5252883634188684,0.522123633371409,0.5295831352484932,0.5256650440129235,0.003056954722814742,37
